loss,params,n_estimators,train_time
0.6385780786855754,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9609496727532661, 'early_stopping_rounds': 20, 'learning_rate': 0.11393741445011821, 'metric': 'auc', 'min_child_samples': 390, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 129, 'objective': 'poisson', 'reg_alpha': 0.39376610804273326, 'reg_lambda': 0.5856222004352526, 'seed': 42, 'subsample': 0.9419990641401855, 'subsample_for_bin': 280000, 'vebose_eval': 1}",44,0.8045852184295654
0.640358714622953,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9355251713792209, 'early_stopping_rounds': 20, 'learning_rate': 0.10853690461451332, 'metric': 'auc', 'min_child_samples': 280, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 98, 'objective': 'poisson', 'reg_alpha': 0.34080375038984884, 'reg_lambda': 0.5924739818822958, 'seed': 42, 'subsample': 0.952053288440459, 'subsample_for_bin': 60000, 'vebose_eval': 1}",75,1.0152957439422607
0.6390414338587589,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9107810175334159, 'early_stopping_rounds': 20, 'learning_rate': 0.11158446566049898, 'metric': 'auc', 'min_child_samples': 390, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 129, 'objective': 'poisson', 'reg_alpha': 0.18070809797760023, 'reg_lambda': 0.7062104786386534, 'seed': 42, 'subsample': 0.837450230868568, 'subsample_for_bin': 40000, 'vebose_eval': 1}",95,1.356630802154541
0.6407073825203748,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9984220309036731, 'early_stopping_rounds': 20, 'learning_rate': 0.06400576695243052, 'metric': 'auc', 'min_child_samples': 20, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 60, 'objective': 'poisson', 'reg_alpha': 0.5146913309872071, 'reg_lambda': 0.4284254088266135, 'seed': 42, 'subsample': 0.9447076572239457, 'subsample_for_bin': 220000, 'vebose_eval': 1}",135,1.4101462364196777
0.6390265613577847,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.922045968275569, 'early_stopping_rounds': 20, 'learning_rate': 0.05081737532599954, 'metric': 'auc', 'min_child_samples': 480, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 129, 'objective': 'poisson', 'reg_alpha': 0.37431807547516655, 'reg_lambda': 0.5558485375446174, 'seed': 42, 'subsample': 0.5006289727588917, 'subsample_for_bin': 200000, 'vebose_eval': 1}",52,0.9012620449066162
0.6392695513715334,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9598034338004887, 'early_stopping_rounds': 20, 'learning_rate': 0.020407844958759892, 'metric': 'auc', 'min_child_samples': 410, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 129, 'objective': 'poisson', 'reg_alpha': 0.07887747333512929, 'reg_lambda': 0.2842960101171951, 'seed': 42, 'subsample': 0.8457530971199829, 'subsample_for_bin': 280000, 'vebose_eval': 1}",296,3.9348974227905273
0.6403469920915121,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.839994184165582, 'early_stopping_rounds': 20, 'learning_rate': 0.10306339509403806, 'metric': 'auc', 'min_child_samples': 30, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 81, 'objective': 'poisson', 'reg_alpha': 0.48776720343567337, 'reg_lambda': 0.4479349741303757, 'seed': 42, 'subsample': 0.9710102983482737, 'subsample_for_bin': 280000, 'vebose_eval': 1}",108,1.1637048721313477
0.6416292269102948,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8976611537646183, 'early_stopping_rounds': 20, 'learning_rate': 0.04399163688336234, 'metric': 'auc', 'min_child_samples': 250, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 41, 'objective': 'poisson', 'reg_alpha': 0.6731637011047074, 'reg_lambda': 0.012783614225925555, 'seed': 42, 'subsample': 0.9213830363643238, 'subsample_for_bin': 280000, 'vebose_eval': 1}",253,2.3375062942504883
0.6403129138078942,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9671576864914448, 'early_stopping_rounds': 20, 'learning_rate': 0.17676501887097357, 'metric': 'auc', 'min_child_samples': 340, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 70, 'objective': 'poisson', 'reg_alpha': 0.2762432769088473, 'reg_lambda': 0.5914039960293203, 'seed': 42, 'subsample': 0.6210661477198145, 'subsample_for_bin': 140000, 'vebose_eval': 1}",47,0.6586196422576904
0.6365543015948928,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9983510190598232, 'early_stopping_rounds': 20, 'learning_rate': 0.02999493284833743, 'metric': 'auc', 'min_child_samples': 220, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 84, 'objective': 'poisson', 'reg_alpha': 0.5916760798884133, 'reg_lambda': 0.8903680085090797, 'seed': 42, 'subsample': 0.85693216655064, 'subsample_for_bin': 40000, 'vebose_eval': 1}",43,0.6992652416229248
0.6410483017507878,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9959029755560407, 'early_stopping_rounds': 20, 'learning_rate': 0.02978309031784806, 'metric': 'auc', 'min_child_samples': 220, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 84, 'objective': 'poisson', 'reg_alpha': 0.9458779107933823, 'reg_lambda': 0.8824156689562446, 'seed': 42, 'subsample': 0.8032115771845653, 'subsample_for_bin': 40000, 'vebose_eval': 1}",349,3.96736478805542
0.6414745632218883,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8069136951914376, 'early_stopping_rounds': 20, 'learning_rate': 0.033641098003508015, 'metric': 'auc', 'min_child_samples': 155, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 42, 'objective': 'poisson', 'reg_alpha': 0.5745067320967252, 'reg_lambda': 0.717368862354407, 'seed': 42, 'subsample': 0.8630652738942066, 'subsample_for_bin': 40000, 'vebose_eval': 1}",298,2.535825252532959
